Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt10857164,6,2023-03-31,Ms. Marvel,https://www.imdb.com/title/tt10857164/,tvMiniSeries,6.2,271,2022,"Action, Adventure, Comedy, Crime, Drama, Family, Fantasy, Mystery, Sci-Fi",107618,2022-06-08,
tt10954600,4,2023-02-27,Ant-Man and the Wasp: Quantumania,https://www.imdb.com/title/tt10954600/,movie,6.4,124,2023,"Action, Adventure, Comedy, Sci-Fi",98869,2023-02-15,Peyton Reed
tt11564570,6,2023-01-31,Glass Onion,https://www.imdb.com/title/tt11564570/,movie,7.2,139,2022,"Comedy, Crime, Drama, Mystery, Thriller",378525,2022-09-13,Rian Johnson
tt1190634,7,2023-02-15,The Boys,https://www.imdb.com/title/tt1190634/,tvSeries,8.7,60,2019,"Action, Comedy, Crime, Drama, Sci-Fi",542880,2019-07-16,
tt12427090,8,2023-02-21,Iron Butterflies,https://www.imdb.com/title/tt12427090/,movie,7.1,84,2023,Documentary,62,2023-01-22,Roman Liubyi
tt12593682,4,2022-12-26,Bullet Train,https://www.imdb.com/title/tt12593682/,movie,7.3,127,2022,"Action, Comedy, Thriller",338090,2022-07-18,David Leitch
tt13320622,6,2023-02-15,The Lost City,https://www.imdb.com/title/tt13320622/,movie,6.1,112,2022,"Action, Adventure, Comedy, Romance",131728,2022-03-12,"Adam Nee, Aaron Nee"
tt13443470,8,2023-01-31,Wednesday,https://www.imdb.com/title/tt13443470/,tvSeries,8.1,45,2022,"Comedy, Crime, Fantasy, Mystery",307774,2022-10-31,
tt13560574,7,2023-04-03,X,https://www.imdb.com/title/tt13560574/,movie,6.6,105,2022,"Horror, Mystery, Thriller",124045,2022-03-13,Ti West
tt14444726,7,2023-03-20,Tár,https://www.imdb.com/title/tt14444726/,movie,7.5,158,2022,"Drama, Music",66973,2022-09-01,Todd Field
tt14813150,5,2023-02-21,Manodrome,https://www.imdb.com/title/tt14813150/,movie,5.9,95,2023,"Drama, Thriller",203,2023-02-18,John Trengove
tt1630029,7,2023-01-28,Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/,movie,7.7,192,2022,"Action, Adventure, Fantasy, Sci-Fi",352489,2022-12-06,James Cameron
tt18925334,7,2023-03-20,Pearl,https://www.imdb.com/title/tt18925334/,movie,7.0,103,2022,"Drama, Horror, Thriller",52844,2022-09-03,Ti West
tt20356188,7,2022-11-16,One Day in Ukraine,https://www.imdb.com/title/tt20356188/,movie,7.4,77,2022,"Documentary, Drama, War",45,2022-06-24,Volodymyr Tykhyy
tt21817836,8,2023-02-23,Hello Dankness,https://www.imdb.com/title/tt21817836/,movie,7.3,70,2022,"Comedy, Horror, Music, Musical",28,2022-10-18,Soda Jerk
tt2381249,7,2023-02-19,Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249/,movie,7.4,131,2015,"Action, Adventure, Thriller",381693,2015-07-23,Christopher McQuarrie
tt2442560,7,2023-03-22,Peaky Blinders,https://www.imdb.com/title/tt2442560/,tvSeries,8.8,60,2013,"Crime, Drama",574466,2013-09-12,
tt26443107,8,2023-02-19,The Adults,https://www.imdb.com/title/tt26443107/,movie,7.3,91,2023,"Comedy, Drama",57,2023-02-18,Dustin Guy Defa
tt4912910,7,2023-02-26,Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/,movie,7.7,147,2018,"Action, Adventure, Thriller",342158,2018-07-12,Christopher McQuarrie
tt4995790,7,2023-01-31,The Square,https://www.imdb.com/title/tt4995790/,movie,7.1,151,2017,"Comedy, Drama",71390,2017-05-20,Ruben Östlund
tt6710474,7,2023-01-31,Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,movie,7.9,139,2022,"Action, Adventure, Comedy, Fantasy, Sci-Fi",424847,2022-03-11,"Daniel Kwan, Daniel Scheinert"
tt7322224,7,2022-11-29,Triangle of Sadness,https://www.imdb.com/title/tt7322224/,movie,7.4,147,2022,"Comedy, Drama",122828,2022-05-21,Ruben Östlund
tt0075314,7,2023-03-08,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.2,114,1976,"Crime, Drama",855696,1976-02-08,Martin Scorsese
tt9114286,3,2023-02-15,Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/,movie,6.7,161,2022,"Action, Adventure, Drama, Sci-Fi",254949,2022-11-09,Ryan Coogler
tt9686790,5,2023-02-15,Shotgun Wedding,https://www.imdb.com/title/tt9686790/,movie,5.4,101,2022,"Action, Comedy, Romance",28927,2022-12-28,Jason Moore
